trmt,yr,w01,w02,w03,w04,w05,w06,w07,w08,w09,w10,w11,w12
1Q30W,18,0.1,0.146,0.21,0.288,0.323,0.355,0.37,0.341,0.33,0.306,0.283,0.262
1Q30W,18,0.1,0.159,0.187,0.234,0.237,0.234,0.225,0.22,0.21,0.197,0.18,0.158
1Q30W,18,0.1,0.108,0.16,0.174,0.202,0.196,0.191,0.178,0.171,0.158,0.144,0.122
1Q30W,18,0.1,0.1,0.088,0.105,0.152,0.159,0.154,0.141,0.126,0.117,0.101,0.079
1Q30W,18,0.1,0.091,0.099,0.167,0.291,0.292,0.274,0.27,0.266,0.256,0.235,0.202
1Q30W,18,0.1,0.091,0.085,0.082,0.164,0.212,0.241,0.241,0.239,0.237,0.231,0.22
1Q30W,18,0.1,0.118,0.099,0.083,0.08,0.063,0.051,0.038,,0.021,0.012,0.004
1Q30W,17,0.1003,0.2902,0.5716,0.5434,0.6023,0.6467,0.509,0.4112,0.3649,0.3377,0.3436,0.3128
1Q30W,17,0.0992,0.0394,0.1486,0.2687,0.3371,0.4463,0.3596,0.3359,0.4038,0.4358,0.4338,0.413
1Q30W,17,0.1012,0.1328,0.3296,0.4283,0.4247,0.4612,0.3263,0.2727,0.2626,0.3185,0.3126,0.3051
1Q60W,18,0.1,0.191,0.167,0.173,0.223,0.269,0.267,0.238,0.211,0.186,0.156,0.115
1Q60W,18,0.1,0.227,0.216,0.296,0.408,0.493,0.474,0.44,0.432,0.412,0.387,0.334
1Q60W,18,0.1,0.221,0.276,0.279,0.327,0.341,0.322,0.294,0.258,0.23,0.191,0.144
1Q60W,18,0.1,0.202,0.21,0.261,0.296,0.281,0.261,0.221,0.198,0.168,0.137,0.1
1Q60W,18,0.1,0.051,0.056,0.037,0.039,0.092,0.165,0.149,,0.25,0.267,0.248
1Q60W,18,0.1,0.09,0.152,0.245,0.451,0.432,0.424,0.39,,0.377,0.363,
1Q60W,18,0.1,0.068,0.114,0.255,0.255,0.261,0.353,0.385,,0.398,0.395,
1Q60W,17,0.0993,0.1073,0.273,0.2619,0.4291,0.5929,0.5335,0.5948,0.5586,0.6114,0.6166,0.5634
1Q60W,17,0.0991,0.032,0.0796,0.0524,0.1534,0.2641,0.1889,0.2575,0.2817,0.2344,0.2097,0.2014
1Q60W,18,0.1,0.2772,0.4432,0.6212,0.6593,0.6805,0.7519,0.7213,0.7699,0.6853,0.6021,0.5348
1Q90W,18,0.1,0.131,0.133,0.12,0.183,0.176,0.17,0.151,0.133,0.118,0.099,0.07
1Q90W,18,0.1,0.045,0.051,0.136,0.149,0.143,0.153,0.136,,0.172,0.197,0.188
1Q90W,18,0.1,0.193,0.199,0.312,0.389,0.394,0.395,0.406,,0.365,0.358,0.325
1Q90W,18,0.1,0.059,0.083,0.132,0.156,0.223,0.222,0.208,,0.206,0.2,0.195
1Q90W,18,0.1,0.098,0.098,0.078,0.07,0.103,0.114,0.09,,0.08,0.095,0.085
1Q90W,18,0.1,0.071,0.048,0.026,0.023,0.015,0.02,0.008,,,,
1Q90W,18,0.1,0.2,0.238,0.216,0.224,0.209,0.262,0.231,,0.331,0.334,0.306
1Q90W,17,0.0999,0.0851,0.3221,0.6935,0.9393,0.9297,0.6638,0.5701,0.5015,0.4815,0.4753,0.4134
1Q90W,17,0.1037,0.2036,0.6807,1.0575,1.2127,1.1012,0.9743,0.8336,0.68,0.6239,0.5502,0.489
