trmt	Queen	Worker	yr	w01	w02	w03	w04	w05	w06	w07	w08	w09	w10	w11	w12	w13
0Q30W	0Q	30W	17_1	0.1	0.1765	0.1825	0.1865	0.1905	0.2595	0.1752	0.1593	0.1593	0.1445	0.1399	0.1394	0.12915
0Q30W	0Q	30W	17_1	0.1	0.1776	0.1291	0.1626	0.1961	0.177	0.204	0.1886	0.1886	0.1746	0.1534	0.1484	0.14205
0Q30W	0Q	30W	17_1	0.1	0.1059	0.3113	0.37795	0.4446	0.4749	0.4655	0.4314	0.4314	0.4131	0.3837	0.3785	0.3579
0Q30W	0Q	30W	17_1	0.1	0.2232	0.2813	0.2501	0.2204	0.2	0.1917	0.1809	0.1809	0.1805	0.1747	0.1731	0.1635
0Q30W	0Q	30W	17_1	0.1	0.1716	0.1781	0.1388	0.2861	0.2668	0.2563	0.2519	0.2519	0.2471	0.2441	0.251	0.2371
0Q30W	0Q	30W	17_1	0.1	0.2326	0.3331	0.3422	0.3559	0.3631	0.3635	0.3352	0.3352	0.3343	0.3333	0.3328	0.3257
1Q30W	1Q	30W	17_1	0.1	0.2569	0.2554	0.2641	0.2728	0.2303	0.2504	0.2386	0.2386	0.229	0.2132	0.2093	0.20115
1Q30W	1Q	30W	17_1	0.1	0.208	0.2319	0.2202	0.201	0.1892	0.1469	0.1301	0.1301	0.1211	0.1152	0.1146	0.1073
1Q30W	1Q	30W	17_1	0.1	0.2267	0.2712	0.4424	0.505	0.4989	0.4402	0.4058	0.4058	0.4109	0.3883	0.3898	0.36915
1Q30W	1Q	30W	17_1	0.1	0.285	0.2681	0.3765	0.582	0.7033	0.547	0.5423	0.5423	0.5363	0.5346	0.5424	0.4989
1Q30W	1Q	30W	17_1	0.1	0.3113	0.2381	0.2916	0.1257	0.185	0.1195	0.1226	0.1226	0.111	0.1077	0.1	0.1
1Q30W	1Q	30W	17_1	0.1	0.1546	0.1317	0	0	0	0	0	0	0	0	0	0
1Q30W	1Q	30W	17_1	0.1	0.2321	0.4597	0.35	0.4181	0.456	0.3861	0.422	0.422	0.3976	0.3729	0.359	0.3671
5Q30W	5Q	30W	17_1	0.1	0.2126	0.1986	0.3617	0.3475	0.3194	0.3058	0.2846	0.2846	0.2542	0.249	0.2335	0.2129
5Q30W	5Q	30W	17_1	0.1	0.1389	0.1605	0.1689	0.1197	0.1098	0.1049	0.108	0.108	0.1062	0.1051	0.1034	0.1017
5Q30W	5Q	30W	17_1	0.1	0.2816	0.2572	0.2531	0.1939	0.2483	0.2424	0.2375	0.2375	0.2115	0.2143	0.2079	0.1867
5Q30W	5Q	30W	17_1	0.1	0.1654	0	0	0	0	0	0	0	0	0	0	0
5Q30W	5Q	30W	17_1	0.1	0.2688	0.3438	0.4139	0.4676	0.4401	0.3923	0.3443	0.3443	0.3486	0.3243	0.3152	0.3234
10Q30W	10Q	30W	17_1	0.1	0.2278	0.1174	0.15565	0.1939	0.2334	0.2058	0.178	0.178	0.1688	0.1637	0.16	0.1535
10Q30W	10Q	30W	17_1	0.1	0.1903	0.1985	0.2287	0.2037	0.2327	0.2426	0.231	0.231	0.214	0.2006	0.1947	0.18345
10Q30W	10Q	30W	17_1	0.1	0.1811	0.2079	0.2402	0.251	0.4412	0.2824	0.259	0.259	0.2305	0.2262	0.2172	0.2025
10Q30W	10Q	30W	17_1	0.1	0.1998	0.1182	0	0	0	0	0	0	0	0	0	0
10Q30W	10Q	30W	17_1	0.1	0.1638	0.1154	0.1298	0.1492	0	0	0	0	0	0	0	0
10Q30W	10Q	30W	17_1	0.1	0.1741	0.1318	0.1193	0.1335	0.1295	0.1216	0.1047	0.1047	0	0	0	0
10Q30W	10Q	30W	17_1	0.1	0.2389	0.19	0.1814	0.1772	0.1676	0.1523	0	0	0	0	0	0
10Q30W	10Q	30W	17_1	0.1	0.1917	0.2498	0.2939	0.2946	0.2768	0.2601	0.2534	0.2534	0.2274	0.214	0.2026	0.1994
