trmt,Queen,Worker,yr,w01,w02,w03,w04,w05,w06,w07,w08,w09,w10,w11,w12,w13
0Q30W,0Q,30W,17_1,0.1,0.1765,0.1825,0.1865,0.1905,0.2595,0.1752,0.1776,0.1593,0.1445,0.1399,0.1394,0.12915
0Q30W,0Q,30W,17_1,0.1,0.1776,0.1291,0.1626,0.1961,0.177,0.204,0.2043,0.1886,0.1746,0.1534,0.1484,0.14205
0Q30W,0Q,30W,17_1,0.1,0.1059,0.3113,0.37795,0.4446,0.4749,0.4655,0.4697,0.4314,0.4131,0.3837,0.3785,0.3579
0Q30W,0Q,30W,17_1,0.1,0.2232,0.2813,0.2501,0.2204,0.2,0.1917,0.1874,0.1809,0.1805,0.1747,0.1731,0.1635
0Q30W,0Q,30W,17_1,0.1,0.1716,0.1781,0.1388,0.2861,0.2668,0.2563,0.2546,0.2519,0.2471,0.2441,0.251,0.2371
0Q30W,0Q,30W,17_1,0.1,0.2326,0.3331,0.3422,0.3559,0.3631,0.3635,0.3574,0.3352,0.3343,0.3333,0.3328,0.3257
0Q30W,0Q,30W,17_3,0.1003,0.1131,0.1653,0.1546,0.1322,0.1093,0.044,0.0277,0.0184,0.0129,0.0067,0,0
0Q30W,0Q,30W,17_3,0.1,0.16,0.2039,0.2008,0.1723,0.148,0.0882,0.0954,0.0506,0.0525,0.0451,0.0407,0.0406
0Q60W,0Q,60W,17_3,0.1002,0.2744,0.4991,0.6347,0.6047,0.6081,0.5833,0.6095,0.6648,0.7141,0.7453,0.7404,0.7112
0Q60W,0Q,60W,17_3,0.0996,0.1203,0.2253,0.2708,0.2641,0.2467,0.2695,0.2732,0.2571,0.2482,0.2998,0.3014,0.368
0Q60W,0Q,60W,17_3,0.1018,0.1013,0.1341,0.1362,0.1264,0.2186,0.2165,0.2966,0.2962,0.3056,0.3697,0.4214,0.4387
0Q90W,0Q,90W,17_3,0.105,0.0954,0.0874,0.0744,0.0381,0.0231,0.0166,0.0147,0.0058,0,0,0,0
0Q90W,0Q,90W,17_3,0.0983,0.1741,0.2282,0.4221,0.4715,0.5192,0.5207,0.6136,0.5789,0.5464,0.5374,0.5101,0.4906
0Q90W,0Q,90W,17_3,0.1023,0.2449,0.4613,0.5291,0.5831,0.5979,0.5872,0.5684,0.493,0.4677,0.4543,0.4321,0.3871
1Q30W,1Q,30W,17_1,0.1,0.2569,0.2554,0.2641,0.2728,0.2303,0.2504,0.2426,0.2386,0.229,0.2132,0.2093,0.20115
1Q30W,1Q,30W,17_1,0.1,0.208,0.2319,0.2202,0.201,0.1892,0.1469,0.1453,0.1301,0.1211,0.1152,0.1146,0.1073
1Q30W,1Q,30W,17_1,0.1,0.2267,0.2712,0.4424,0.505,0.4989,0.4402,0.424,0.4058,0.4109,0.3883,0.3898,0.12915
1Q30W,1Q,30W,17_1,0.1,0.285,0.2681,0.3765,0.582,0.7033,0.547,0.5606,0.5423,0.5363,0.5346,0.5424,0.4989
1Q30W,1Q,30W,17_1,0.1,0.3113,0.2381,0.2916,0.1257,0.185,0.1195,0.1121,0.1226,0.111,0.1077,0.359,0.3671
1Q30W,1Q,30W,17_1,0.1,0.1546,0.1317,0.35,0.4181,0.456,0.3861,0.3794,0.422,0.3976,0.3729,0.1,0.2129
1Q30W,1Q,30W,17_3,0.1003,0.2902,0.5716,0.5434,0.6023,0.6467,0.509,0.4112,0.3649,0.3377,0.3436,0.3128,0.3182
1Q30W,1Q,30W,17_3,0.0992,0.0394,0.1486,0.2687,0.3371,0.4463,0.3596,0.3359,0.4038,0.4358,0.4338,0.413,0.4036
1Q30W,1Q,30W,17_3,0.1012,0.1328,0.3296,0.4283,0.4247,0.4612,0.3263,0.2727,0.2626,0.3185,0.3126,0.3051,0.2861
1Q30W,1Q,30W,18,0.1,0.146,0.21,0.288,0.323,0.355,0.37,0.341,0.33,0.306,0.283,0.262,0.243
1Q30W,1Q,30W,18,0.1,0.159,0.187,0.234,0.237,0.234,0.225,0.22,0.21,0.197,0.18,0.158,0.153
1Q30W,1Q,30W,18,0.1,0.108,0.16,0.174,0.202,0.196,0.191,0.178,0.171,0.158,0.144,0.122,0.113
1Q30W,1Q,30W,18,0.1,0.1,0.088,0.105,0.152,0.159,0.154,0.141,0.126,0.117,0.101,0.079,0.072
1Q30W,1Q,30W,18,0.1,0.091,0.099,0.167,0.291,0.292,0.274,0.27,0.266,0.256,0.235,0.202,0.185
1Q30W,1Q,30W,18,0.1,0.091,0.085,0.082,0.164,0.212,0.241,0.241,0.239,0.237,0.231,0.22,0.205
1Q30W,1Q,30W,18,0.1,0.118,0.099,0.083,0.08,0.063,0.051,0.038,0.0295,0.021,0.012,0.004,0
1Q60W,1Q,60W,17_3,0.0993,0.1073,0.273,0.2619,0.4291,0.5929,0.5335,0.5948,0.5586,0.6114,0.6166,0.5634,0.4729
1Q60W,1Q,60W,17_3,0.0991,0.032,0.0796,0.0524,0.1534,0.2641,0.1889,0.2575,0.2817,0.2344,0.2097,0.2014,0.1775
1Q60W,1Q,60W,17_3,0.1,0.2772,0.4432,0.6212,0.6593,0.6805,0.7519,0.7213,0.7699,0.6853,0.6021,0.5348,0.3787
