variable,value,queen,week,subject
fungus,0.1,0,0,0_1
fungus,0.1,0,0,0_2
fungus,0.1,0,0,0_3
fungus,0.1,0,0,0_4
fungus,0.1,0,0,0_5
fungus,0.1,0,0,0_6
fungus,0.1,1,0,1_1
fungus,0.1,1,0,1_2
fungus,0.1,1,0,1_3
fungus,0.1,1,0,1_4
fungus,0.1,1,0,1_5
fungus,0.1,1,0,1_6
fungus,0.1,1,0,1_7
fungus,0.1,5,0,5_1
fungus,0.1,5,0,5_2
fungus,0.1,5,0,5_3
fungus,0.1,5,0,5_4
fungus,0.1,5,0,5_5
fungus,0.1,10,0,10_1
fungus,0.1,10,0,10_2
fungus,0.1,10,0,10_3
fungus,0.1,10,0,10_4
fungus,0.1,10,0,10_5
fungus,0.1,10,0,10_6
fungus,0.1,10,0,10_7
fungus,0.1,10,0,10_8
fungus,0.1765,0,1,0_1
fungus,0.1776,0,1,0_2
fungus,0.1059,0,1,0_3
fungus,0.2232,0,1,0_4
fungus,0.1716,0,1,0_5
fungus,0.2326,0,1,0_6
fungus,0.2569,1,1,1_1
fungus,0.208,1,1,1_2
fungus,0.2267,1,1,1_3
fungus,0.285,1,1,1_4
fungus,0.3113,1,1,1_5
fungus,0.1546,1,1,1_6
fungus,0.2321,1,1,1_7
fungus,0.2126,5,1,5_1
fungus,0.1389,5,1,5_2
fungus,0.2816,5,1,5_3
fungus,0.1654,5,1,5_4
fungus,0.2688,5,1,5_5
fungus,0.2278,10,1,10_1
fungus,0.1903,10,1,10_2
fungus,0.1811,10,1,10_3
fungus,0.1998,10,1,10_4
fungus,0.1638,10,1,10_5
fungus,0.1741,10,1,10_6
fungus,0.2389,10,1,10_7
fungus,0.1917,10,1,10_8
fungus,0.1825,0,2,0_1
fungus,0.1291,0,2,0_2
fungus,0.3113,0,2,0_3
fungus,0.2813,0,2,0_4
fungus,0.1781,0,2,0_5
fungus,0.3331,0,2,0_6
fungus,0.2554,1,2,1_1
fungus,0.2319,1,2,1_2
fungus,0.2712,1,2,1_3
fungus,0.2681,1,2,1_4
fungus,0.2381,1,2,1_5
fungus,0.1317,1,2,1_6
fungus,0.1,1,2,1_7
fungus,0.4597,5,2,5_1
fungus,0.1986,5,2,5_2
fungus,0.1605,5,2,5_3
fungus,0.2572,5,2,5_4
fungus,0.3438,5,2,5_5
fungus,0.174,10,2,10_1
fungus,0.1985,10,2,10_2
fungus,0.2097,10,2,10_3
fungus,0.1182,10,2,10_4
fungus,0.1154,10,2,10_5
fungus,0.1318,10,2,10_6
fungus,0.19,10,2,10_7
fungus,0.2498,10,2,10_8
fungus,0.1865,0,3,0_1
fungus,0.1626,0,3,0_2
fungus,0.37795,0,3,0_3
fungus,0.2501,0,3,0_4
fungus,0.1388,0,3,0_5
fungus,0.3422,0,3,0_6
fungus,0.2641,1,3,1_1
fungus,0.2202,1,3,1_2
fungus,0.4424,1,3,1_3
fungus,0.3765,1,3,1_4
fungus,0.2916,1,3,1_5
fungus,0.35,1,3,1_6
fungus,0.1,1,3,1_7
fungus,0.3617,5,3,5_1
fungus,0.1689,5,3,5_2
fungus,0.2531,5,3,5_3
fungus,0.4139,5,3,5_4
fungus,0.1,5,3,5_5
fungus,0.15565,10,3,10_1
fungus,0.2287,10,3,10_2
fungus,0.2402,10,3,10_3
fungus,0.1298,10,3,10_4
fungus,0.1193,10,3,10_5
fungus,0.1814,10,3,10_6
fungus,0.2939,10,3,10_7
fungus,0.1,10,3,10_8
fungus,0.1905,0,4,0_1
fungus,0.1961,0,4,0_2
fungus,0.4446,0,4,0_3
fungus,0.2204,0,4,0_4
fungus,0.2861,0,4,0_5
fungus,0.3559,0,4,0_6
fungus,0.2728,1,4,1_1
fungus,0.201,1,4,1_2
fungus,0.505,1,4,1_3
fungus,0.582,1,4,1_4
fungus,0.1257,1,4,1_5
fungus,0.4181,1,4,1_6
fungus,0.1,1,4,1_7
fungus,0.3475,5,4,5_1
fungus,0.1197,5,4,5_2
fungus,0.1939,5,4,5_3
fungus,0.4676,5,4,5_4
fungus,0.1,5,4,5_5
fungus,0.1939,10,4,10_1
fungus,0.2037,10,4,10_2
fungus,0.251,10,4,10_3
fungus,0.1492,10,4,10_4
fungus,0.1335,10,4,10_5
fungus,0.1772,10,4,10_6
fungus,0.2946,10,4,10_7
fungus,0.1,10,4,10_8
fungus,0.2595,0,5,0_1
fungus,0.177,0,5,0_2
fungus,0.4749,0,5,0_3
fungus,0.2,0,5,0_4
fungus,0.2668,0,5,0_5
fungus,0.3631,0,5,0_6
fungus,0.2303,1,5,1_1
fungus,0.1892,1,5,1_2
fungus,0.4989,1,5,1_3
fungus,0.7033,1,5,1_4
fungus,0.185,1,5,1_5
fungus,0.456,1,5,1_6
fungus,0.1,1,5,1_7
fungus,0.3194,5,5,5_1
fungus,0.1098,5,5,5_2
fungus,0.2483,5,5,5_3
fungus,0.4401,5,5,5_4
fungus,0.1,5,5,5_5
fungus,0.2334,10,5,10_1
fungus,0.2327,10,5,10_2
fungus,0.4412,10,5,10_3
fungus,0.1,10,5,10_4
fungus,0.1295,10,5,10_5
fungus,0.1676,10,5,10_6
fungus,0.2768,10,5,10_7
fungus,0.1,10,5,10_8
fungus,0.1752,0,6,0_1
fungus,0.204,0,6,0_2
fungus,0.4655,0,6,0_3
fungus,0.1917,0,6,0_4
fungus,0.2563,0,6,0_5
